DISE CODE|KLP ID|School Name|Day|Month|Year|Food Indent (1-5)|Food Indent (6-7)|Food Indent (8)|Food Indent (9-10)|Attendance (1-5)|Attendance (6-7)|Attendance (8)|Attendance (9-10)|
|32006|GKHPS BILEKALLI|1|SEP|2012|51||||43||||
|32006|GKHPS BILEKALLI|2|SEP|2012|51||||43||||
|32006|GKHPS BILEKALLI|4|SEP|2012|51||||43||||
|32006|GKHPS BILEKALLI|5|SEP|2012|51||||34||||
|32006|GKHPS BILEKALLI|6|SEP|2012|51||||34||||
|32006|GKHPS BILEKALLI|7|SEP|2012|51||||34||||
|32006|GKHPS BILEKALLI|8|SEP|2012|51||||34||||
|32006|GKHPS BILEKALLI|10|SEP|2012|51||||35||||
|32006|GKHPS BILEKALLI|11|SEP|2012|51||||34||||
|32006|GKHPS BILEKALLI|12|SEP|2012|51||||34||||
|32006|GKHPS BILEKALLI|13|SEP|2012|51||||34||||
|32006|GKHPS BILEKALLI|14|SEP|2012|51||||34||||
|32006|GKHPS BILEKALLI|15|SEP|2012|51||||34||||
|32006|GKHPS BILEKALLI|17|SEP|2012|51||||34||||
|32006|GKHPS BILEKALLI|21|SEP|2012|51||||34||||
|32006|GKHPS BILEKALLI|24|SEP|2012|51||||34||||
|32006|GKHPS BILEKALLI|25|SEP|2012|51||||34||||
|32006|GKHPS BILEKALLI|26|SEP|2012|51||||34||||
|32006|GKHPS BILEKALLI|27|SEP|2012|51||||34||||
|32006|GKHPS BILEKALLI|28|SEP|2012|51||||34||||
|32006|GKHPS BILEKALLI|29|SEP|2012|51||||34||||
|32006|GKHPS BILEKALLI|1|OCT|2012|240|75|||169|58|||
|32006|GKHPS BILEKALLI|3|OCT|2012|240|75|||166|61|||
|32006|GKHPS BILEKALLI|4|OCT|2012|240|75|||159|61|||
|32006|GKHPS BILEKALLI|5|OCT|2012|240|75|||160|60|||
|32006|GKHPS BILEKALLI|30|OCT|2012|240|75|||74|29|||
|32006|GKHPS BILEKALLI|31|OCT|2012|240|75|||74|29|||
|32006|GKHPS BILEKALLI|2|NOV|2012|240|75|||82|45|||
|32006|GKHPS BILEKALLI|3|NOV|2012|240|75|||101|52|||
|32006|GKHPS BILEKALLI|5|NOV|2012|240|75|||141|62|||
|32006|GKHPS BILEKALLI|6|NOV|2012|240|75|||141|65|||
|32006|GKHPS BILEKALLI|7|NOV|2012|240|75|||151|68|||
|32006|GKHPS BILEKALLI|8|NOV|2012|240|75|||143|65|||
|32006|GKHPS BILEKALLI|9|NOV|2012|240|75|||144|65|||
|32006|GKHPS BILEKALLI|10|NOV|2012|240|75|||138|65|||
|32006|GKHPS BILEKALLI|15|NOV|2012|240|75|||132|50|||
|32006|GKHPS BILEKALLI|16|NOV|2012|240|75|||129|57|||
|32006|GKHPS BILEKALLI|17|NOV|2012|240|75|||155|51|||
|32006|GKHPS BILEKALLI|19|NOV|2012|240|75|||127|55|||
|32006|GKHPS BILEKALLI|21|NOV|2012|240|75|||148|60|||
|32006|GKHPS BILEKALLI|22|NOV|2012|240|75|||154|62|||
|32006|GKHPS BILEKALLI|23|NOV|2012|240|75|||155|62|||
|32006|GKHPS BILEKALLI|24|NOV|2012|240|75|||141|61|||
|32006|GKHPS BILEKALLI|26|NOV|2012|240|75|||137|66|||
|32006|GKHPS BILEKALLI|27|NOV|2012|240|75|||148|66|||
|32006|GKHPS BILEKALLI|28|NOV|2012|240|75|||148|66|||
|32006|GKHPS BILEKALLI|29|NOV|2012|240|75|||148|66|||
|32006|GKHPS BILEKALLI|30|NOV|2012|240|75|||148|66|||
|32006|GKHPS BILEKALLI|3|DEC|2012|240|75|||131|64|||
|32006|GKHPS BILEKALLI|4|DEC|2012|240|75|||139|63|||
|32006|GKHPS BILEKALLI|5|DEC|2012|240|75|||153|54|||
|32006|GKHPS BILEKALLI|6|DEC|2012|240|75|||149|57|||
|32006|GKHPS BILEKALLI|7|DEC|2012|240|75|||157|66|||
|32006|GKHPS BILEKALLI|8|DEC|2012|240|75|||156|58|||
|32006|GKHPS BILEKALLI|11|DEC|2012|240|75|||164|59|||
|32006|GKHPS BILEKALLI|12|DEC|2012|240|75|||154|60|||
|32006|GKHPS BILEKALLI|13|DEC|2012|240|75|||154|63|||
|32006|GKHPS BILEKALLI|14|DEC|2012|240|75|||144|63|||
|32006|GKHPS BILEKALLI|15|DEC|2012|240|75|||144|63|||
|32006|GKHPS BILEKALLI|17|DEC|2012|240|75|||144|63|||
|32006|GKHPS BILEKALLI|18|DEC|2012|240|75|||154|63|||
|32006|GKHPS BILEKALLI|19|DEC|2012|240|75|||142|64|||
|32006|GKHPS BILEKALLI|20|DEC|2012|240|75|||137|63|||
|32006|GKHPS BILEKALLI|21|DEC|2012|240|75|||130|61|||
|32006|GKHPS BILEKALLI|22|DEC|2012|240|75|||142|61|||
|32006|GKHPS BILEKALLI|24|DEC|2012|240|75|||118|47|||
|32006|GKHPS BILEKALLI|26|DEC|2012|240|75|||114|47|||
|32006|GKHPS BILEKALLI|27|DEC|2012|240|75|||144|58|||
|32006|GKHPS BILEKALLI|28|DEC|2012|240|75|||134|53|||
|32006|GKHPS BILEKALLI|29|DEC|2012|240|75|||114|63|||
|32006|GKHPS BILEKALLI|31|DEC|2012|240|75|||114|63|||
|32006|GKHPS BILEKALLI|1|JAN|2013|240|75|||133|61|||
|32006|GKHPS BILEKALLI|2|JAN|2013|240|75|||149|59|||
|32006|GKHPS BILEKALLI|3|JAN|2013|240|75|||152|66|||
